condition,trial,sample,logical_neuron,replica,physical_coordinate,nominal_input_s,first_spike_s,fired,spike_count
ttfs_M1_local-pool_dedicated,0,5,3,0,384,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,5,4,0,1,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,5,5,0,129,1.9999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,5,6,0,257,1.8999999999999998e-05,2.3727999999999997e-05,1,1
ttfs_M1_local-pool_dedicated,0,5,7,0,385,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,5,8,0,2,2.4999999999999998e-05,3.1095999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,5,9,0,130,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,5,10,0,258,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,5,11,0,386,2.4e-05,3.1344e-05,1,1
ttfs_M1_local-pool_dedicated,0,5,12,0,3,2.4999999999999998e-05,3.0879999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,5,13,0,131,1.9999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,5,14,0,259,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,5,15,0,387,2.4999999999999998e-05,3.0399999999999997e-05,1,1
ttfs_M1_local-pool_dedicated,0,5,16,0,4,2.2e-05,2.5631999999999998e-05,1,1
ttfs_M1_local-pool_dedicated,0,5,17,0,132,1.9999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,5,18,0,260,2.2e-05,2.6999999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,5,19,0,388,2.2e-05,2.6543999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,5,20,0,5,2.2e-05,2.8111999999999994e-05,1,1
ttfs_M1_local-pool_dedicated,0,5,21,0,133,1.9999999999999998e-05,2.5567999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,5,22,0,261,2.4999999999999998e-05,3.0535999999999994e-05,1,1
ttfs_M1_local-pool_dedicated,0,5,23,0,389,2.4999999999999998e-05,3.0584e-05,1,1
