primitive,stage,split,device,physical_coordinate,input_code,ideal_variable,sample_count,mean,variance,miss_rate,multiple_spike_rate,saturation_rate
phi-np,dynamic,calibration,2,13,2.0,2.0,128,1.6311875000000034e-05,8.719922834646094e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,3.0,3.0,128,1.6225062500000036e-05,6.879483070866503e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,4.0,4.0,128,1.5966500000000038e-05,8.128277165354301e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,5.0,5.0,128,1.5787062500000038e-05,8.242607480315435e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,6.0,6.0,128,1.5396500000000038e-05,7.60025196850414e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,7.0,7.0,128,1.4952750000000036e-05,9.261499212598126e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,8.0,8.0,128,1.4812250000000034e-05,4.8428283464569327e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,9.0,9.0,128,1.4686437500000037e-05,5.78449724409479e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,10.0,10.0,128,1.4461375000000037e-05,4.888703937007963e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,11.0,11.0,128,1.4175687500000039e-05,6.374843700787691e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,12.0,12.0,128,1.3904250000000037e-05,6.977303937008011e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,13.0,13.0,128,1.3721437500000037e-05,5.75349251968523e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,14.0,14.0,128,1.3427437500000034e-05,5.902582283464713e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,15.0,15.0,128,1.3201250000000037e-05,7.215212598425452e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,16.0,16.0,128,1.2841500000000036e-05,5.090948031496314e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,17.0,17.0,128,1.266018750000004e-05,7.678182283464976e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,18.0,18.0,128,1.2415062500000035e-05,4.7702295275590487e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,19.0,19.0,128,1.2250000000000037e-05,5.3669291338587716e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,20.0,20.0,128,1.2140250000000035e-05,6.631703937008277e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,21.0,21.0,128,1.1824375000000037e-05,5.779337007874542e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,22.0,22.0,128,1.1512750000000035e-05,7.007086614173732e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,23.0,23.0,128,1.1362125000000038e-05,1.0212231496063757e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,24.0,24.0,128,1.1419562500000036e-05,5.90289724409517e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,25.0,25.0,128,1.1288687500000036e-05,7.683731889764269e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,26.0,26.0,128,1.1157937500000035e-05,6.429353937008282e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,27.0,27.0,128,1.0739375000000038e-05,9.463796850394351e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,28.0,28.0,128,1.0780312500000034e-05,6.871775984252358e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,29.0,29.0,128,1.0515812500000035e-05,9.649483070866629e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,30.0,30.0,128,1.0389125000000038e-05,6.84122047244155e-14,0.0,0.0,0.0
