candidate_id,constant_current_code,error,held_out_validated,phi_nl_best_coordinate,phi_nl_best_sigma_s,phi_nl_best_signal_span_s,phi_nl_calibration_median_rt,phi_nl_calibration_minimum_sigma_s,phi_nl_held_out_median_rt,phi_nl_held_out_minimum_rt,phi_nl_held_out_validated,phi_np_best_coordinate,phi_np_best_sigma_s,phi_np_best_signal_span_s,phi_np_calibration_median_rt,phi_np_calibration_minimum_sigma_s,phi_np_held_out_median_rt,phi_np_held_out_minimum_rt,phi_np_held_out_validated,precharge_input_fan_in,precharge_weight_maximum,primitive,ramp_stop_s,run,selection_eligible,selection_objective_rt,status,threshold_code,validation_objective_rt
cc1022_th0600_stop025.00us_fanin03_w63,1022,PyNN worker timed out for phi-np/static/code=0,,,,,,,,,,,,,,,,,,3,63,,2.4999999999999998e-05,phi_nl_threshold600_screen,,,failed,600,
cc1022_th0650_stop025.00us_fanin03_w56,1022,PyNN worker timed out for phi-np/static/code=0,,,,,,,,,,,,,,,,,,3,56,,2.4999999999999998e-05,phi_nl_threshold_gain_screen,,,failed,650,
cc1022_th0650_stop025.00us_fanin03_w63,1022,PyNN worker timed out for phi-np/static/code=0,,,,,,,,,,,,,,,,,,3,63,,2.4999999999999998e-05,phi_nl_threshold_gain_screen,,,failed,650,
cc1022_th0500_stop025.00us_fanin01_w63,1022,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,2.4999999999999998e-05,refine_joint,,,failed,500,
cc1022_th0500_stop025.00us_fanin02_w63,1022,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,2,63,,2.4999999999999998e-05,refine_joint,,,failed,500,
cc1022_th0500_stop025.00us_fanin04_w63,1022,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,4,63,,2.4999999999999998e-05,refine_joint,,,failed,500,
cc1022_th0500_stop025.00us_fanin08_w63,1022,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,8,63,,2.4999999999999998e-05,refine_joint,,,failed,500,
cc1022_th0600_stop025.00us_fanin01_w63,1022,,False,390,2.0650811122078778e-07,2.135383333333314e-06,0.15519834348758144,1.747549395264497e-07,0.18954117042301633,0.09670774703407958,False,273,4.319174818308089e-07,2.3539333333332873e-06,0.2640967219625948,4.5714369245949386e-07,0.27403091657604317,0.18348755919063867,False,1,63,phi-nl,2.4999999999999998e-05,refine_joint,True,0.15519834348758144,complete,600,
cc1022_th0600_stop025.00us_fanin02_w63,1022,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,2,63,,2.4999999999999998e-05,refine_joint,,,failed,600,
cc0064_th0500_stop325.00us_fanin01_w63,64,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,0.000325,reset_separation_probe,,,failed,500,
cc1022_th0500_stop025.00us_fanin01_w63,1022,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,2.4999999999999998e-05,short_window_coordinate_screen,,,failed,500,
cc1022_th0550_stop025.00us_fanin01_w63,1022,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,2.4999999999999998e-05,short_window_coordinate_screen,,,failed,550,
cc1022_th0600_stop025.00us_fanin01_w63,1022,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,2.4999999999999998e-05,short_window_coordinate_screen,,,failed,600,
cc1022_th0550_stop025.00us_fanin01_w63,1022,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,2.4999999999999998e-05,short_window_current1022_reset0_900,,,failed,550,
cc0512_th0500_stop045.00us_fanin01_w63,512,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,4.4999999999999996e-05,short_window_current512_screen,,,failed,500,
cc0512_th0550_stop045.00us_fanin01_w63,512,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,4.4999999999999996e-05,short_window_current512_screen,,,failed,550,
cc0512_th0600_stop045.00us_fanin01_w63,512,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,4.4999999999999996e-05,short_window_current512_screen,,,failed,600,
