candidate_id,coordinate,nl_calibration_nrmse,nl_calibration_rank,nl_calibration_rt,nl_calibration_valid,nl_held_out_rt,nl_held_out_valid,nl_parameter_drift,nl_validation_nrmse,nl_validation_rank,np_calibration_rt,np_calibration_valid,np_dynamic_calibration_nrmse,np_dynamic_calibration_rank,np_dynamic_parameter_drift,np_dynamic_validation_nrmse,np_dynamic_validation_rank,np_held_out_rt,np_held_out_valid,np_static_calibration_nrmse,np_static_calibration_rank,np_static_parameter_drift,np_static_validation_nrmse,np_static_validation_rank,run
cc1022_th0550_stop025.00us_fanin03_w56,72,0.0022003380882575346,1.0,0.030609128008983803,True,0.029403609542679954,True,0.011185254813731376,0.014030989266612977,0.9999999999999998,0.02771951122052817,True,0.039348869893329454,1.0,0.007805639574590375,0.03341315009263035,0.9999999999999998,0.02423425451535054,True,0.03579252366294353,1.0,0.006565252201760209,0.036733629467918485,0.9999999999999998,phi_nl_precharge_gain_boundary_screen
cc1022_th0550_stop025.00us_fanin03_w56,80,0.001289451548153438,1.0,0.026372087654010733,True,0.026904935272904,True,0.02508944355188395,0.014559906042692,0.9999999999999998,0.029858042447847354,True,0.028685279750089603,1.0,0.021732381248058905,0.030678118480128955,0.9999999999999998,0.03388526405377594,True,0.018148775986615028,1.0,0.0027399185049885957,0.019229189224285684,0.9999999999999998,phi_nl_precharge_gain_boundary_screen
cc1022_th0550_stop025.00us_fanin03_w56,96,0.005979462986662038,1.0,0.02906380703381816,True,0.021585561533835618,True,0.0007097441268929494,0.0006027263767277357,0.9999999999999998,0.03188801804944638,True,0.01585385671604117,1.0,0.010772464529688984,0.024496238524868357,0.9999999999999998,0.027461303733830645,True,0.015232325587217058,1.0,0.005325345315360164,0.012295862795152537,0.9999999999999998,phi_nl_precharge_gain_boundary_screen
cc1022_th0550_stop025.00us_fanin03_w56,136,0.01079181289320197,1.0,0.023564487014770874,True,0.02034299660598608,False,0.05663080368815327,0.05060858081522659,0.9999999999999998,0.03914161286834825,True,0.04935871800726099,1.0,0.0007810211852064739,0.05572151649675338,0.9999999999999998,0.035575067118777025,False,0.027355123606720547,1.0,0.01060474470905607,0.029612421886075574,0.9999999999999998,phi_nl_precharge_gain_boundary_screen
cc1022_th0550_stop025.00us_fanin03_w56,168,0.000390033465126432,1.0,0.016088164172200162,True,0.0166260836601828,True,0.0029249348179385213,0.012851177319905904,0.9999999999999998,0.03727199106254233,True,0.026613891191420415,1.0,0.02221242838255003,0.04291573434888157,0.9999999999999998,0.03793153962789107,True,0.03357692374092393,1.0,0.012047250254243488,0.03112241273236821,0.9999999999999998,phi_nl_precharge_gain_boundary_screen
cc1022_th0550_stop025.00us_fanin03_w56,176,0.0020756682273107858,1.0,0.013259881868676509,True,0.016741321838575275,True,0.009191928723170525,0.00775904208131249,0.9999999999999998,0.03082414839801112,True,0.049925406740837217,1.0,0.022334293948128192,0.03781788898856032,0.9999999999999998,0.03448858052640316,True,0.023668846232185545,1.0,0.007866108786608995,0.027427546859558956,0.9999999999999998,phi_nl_precharge_gain_boundary_screen
cc1022_th0550_stop025.00us_fanin03_w56,216,0.002449073534569605,1.0,0.020458134169347688,True,0.02310303185998529,True,0.02703324880509671,0.018157810219593486,0.9999999999999998,0.03711635390456244,True,0.02590964015019913,1.0,0.027081109925290177,0.036522169072553755,0.9999999999999998,0.04425405008894765,True,0.033278172107518704,1.0,0.0067056290372174135,0.034464786439065365,0.9999999999999998,phi_nl_precharge_gain_boundary_screen
cc1022_th0550_stop025.00us_fanin03_w56,232,0.003612129359057867,1.0,0.021706784815892485,True,0.025725334652781776,True,0.01831451467936612,0.020493500703115744,0.9999999999999998,0.04365173552317216,True,0.0019491760254627616,1.0,0.0069088244530577025,0.003183214243700618,0.9999999999999998,0.039543838846565975,True,0.030122420637584538,1.0,0.0013390465988199817,0.03481404875392362,0.9999999999999998,phi_nl_precharge_gain_boundary_screen
cc1022_th0550_stop025.00us_fanin03_w63,72,0.01301374941018655,1.0,0.024957883712748177,True,0.041019103017626575,True,0.014755683320864722,0.022024573558413536,0.9999999999999998,0.04037991569570571,True,0.01714474817480096,1.0,0.007928459481884186,0.02345448115701087,0.9999999999999998,0.031864882451871565,True,0.033723415085357505,1.0,0.0038906241437873094,0.03575033648288485,0.9999999999999998,phi_nl_precharge_gain_boundary_screen
cc1022_th0550_stop025.00us_fanin03_w63,80,0.010012209084080832,1.0,0.027175350791045334,True,0.05072886137602819,True,0.03650781398029773,0.025689485662200875,0.9999999999999998,0.02321076824035597,True,0.026367600964175637,1.0,0.005678591709255124,0.03178387783756601,0.9999999999999998,0.024120063649148395,True,0.017395922177647936,1.0,0.0010593968500579828,0.015243584468050743,0.9999999999999998,phi_nl_precharge_gain_boundary_screen
