pool_size,placement,routing,estimator,evaluation_trials,valid_pools,all_miss_rate,neuron_miss_rate,multi_spike_rate,bias_s,mae_s,variance_s2,mean_pairwise_correlation
1,cross-quadrant,broadcast,median,128,1408,0.0,0.0,0.0,8.757954545454691e-08,1.215279651988644e-07,1.5466849389416555e-14,nan
1,cross-quadrant,broadcast,earliest,128,1408,0.0,0.0,0.0,8.757954545454691e-08,1.215279651988644e-07,1.5466849389416555e-14,nan
2,cross-quadrant,broadcast,corrected-mean,128,1408,0.0,0.0,0.0,-2.532102272727286e-08,1.0326646839488658e-07,1.571775277023974e-14,0.025407528106984188
2,cross-quadrant,broadcast,mean,128,1408,0.0,0.0,0.0,-2.5321022727271752e-08,1.0326646839488631e-07,1.5717752770239748e-14,0.025407528106984188
2,cross-quadrant,broadcast,median,128,1408,0.0,0.0,0.0,-4.522954545454535e-07,4.522954545454535e-07,1.5880513746204066e-14,0.025407528106984188
2,cross-quadrant,broadcast,earliest,128,1408,0.0,0.0,0.0,-4.522954545454535e-07,4.522954545454535e-07,1.5880513746204066e-14,0.025407528106984188
4,cross-quadrant,broadcast,corrected-mean,128,1408,0.0,0.0,0.0,-7.261363636361517e-09,6.455504261363604e-08,6.6452720145215145e-15,0.0416116032078775
4,cross-quadrant,broadcast,mean,128,1408,0.0,0.0,0.0,-7.261363636358973e-09,6.455504261363578e-08,6.6452720145215216e-15,0.0416116032078775
4,cross-quadrant,broadcast,median,128,1408,0.0,0.0,0.0,-1.970355113636317e-07,2.0142815607243887e-07,1.420249511775535e-14,0.0416116032078775
4,cross-quadrant,broadcast,earliest,128,1408,0.0,0.0,0.0,-6.052059659090861e-07,6.052059659090861e-07,1.7622763096045714e-14,0.0416116032078775
8,cross-quadrant,broadcast,corrected-mean,128,1408,0.0,0.0,0.0,5.400898251230486e-09,4.5281123554984685e-08,3.1413255314262855e-15,0.0031004913884159382
8,cross-quadrant,broadcast,mean,128,1408,0.0,0.0,0.0,5.451196776612871e-09,4.528448155312805e-08,3.141325531426284e-15,0.0031004913884159382
8,cross-quadrant,broadcast,median,128,1408,0.0,0.0,0.0,-1.619582026884169e-08,1.0262795483565427e-07,1.5844611980814327e-14,0.0031004913884159382
8,cross-quadrant,broadcast,earliest,128,1408,0.0,0.0,0.0,-6.541787748142962e-07,6.541787748142962e-07,1.079765077129832e-14,0.0031004913884159382
16,cross-quadrant,broadcast,corrected-mean,128,1408,0.0,0.00022194602934177965,0.0,3.9019081465493074e-08,4.886120036005676e-08,2.0204568811906805e-15,0.028086618968355702
16,cross-quadrant,broadcast,mean,128,1408,0.0,0.00022194602934177965,0.0,3.896277340257162e-08,4.879872962277875e-08,2.018268588964002e-15,0.028086618968355702
16,cross-quadrant,broadcast,median,128,1408,0.0,0.00022194602934177965,0.0,-4.69165116353071e-08,7.18528682198955e-08,5.708731908556134e-15,0.028086618968355702
16,cross-quadrant,broadcast,earliest,128,1408,0.0,0.00022194602934177965,0.0,-7.61479011635307e-07,7.61479011635307e-07,1.247955460870627e-14,0.028086618968355702
1,cross-quadrant,independent,corrected-mean,128,1408,0.0,0.0,0.0,7.521022727272719e-08,1.2194682173295454e-07,1.86034895328552e-14,nan
1,cross-quadrant,independent,mean,128,1408,0.0,0.0,0.0,7.521022727272719e-08,1.2194682173295454e-07,1.86034895328552e-14,nan
1,cross-quadrant,independent,median,128,1408,0.0,0.0,0.0,7.521022727272719e-08,1.2194682173295454e-07,1.86034895328552e-14,nan
1,cross-quadrant,independent,earliest,128,1408,0.0,0.0,0.0,7.521022727272719e-08,1.2194682173295454e-07,1.86034895328552e-14,nan
2,cross-quadrant,independent,corrected-mean,128,1408,0.0,0.0,0.0,2.152556818181727e-08,1.0204168146306798e-07,1.6039499967693968e-14,0.010408093287144413
2,cross-quadrant,independent,mean,128,1408,0.0,0.0,0.0,2.1525568181815607e-08,1.020416814630679e-07,1.603949996769395e-14,0.010408093287144413
2,cross-quadrant,independent,median,128,1408,0.0,0.0,0.0,-4.184687500000025e-07,4.1857839133522977e-07,2.3399474591329037e-14,0.010408093287144413
2,cross-quadrant,independent,earliest,128,1408,0.0,0.0,0.0,-4.184687500000025e-07,4.1857839133522977e-07,2.3399474591329037e-14,0.010408093287144413
4,cross-quadrant,independent,corrected-mean,128,1408,0.0,0.1875,0.0,4.3716145833330154e-08,9.192687618371128e-08,1.19792012175417e-14,0.00794612710857455
4,cross-quadrant,independent,mean,128,1408,0.0,0.1875,0.0,2.6878132284381703e-08,1.3651656286421904e-07,2.8089435743695584e-14,0.00794612710857455
4,cross-quadrant,independent,median,128,1408,0.0,0.1875,0.0,-4.5810314685315245e-08,1.2745771416083914e-07,2.2854915878610535e-14,0.00794612710857455
4,cross-quadrant,independent,earliest,128,1408,0.0,0.1875,0.0,-6.21003496503497e-07,6.21003496503497e-07,1.68124971132962e-14,0.00794612710857455
8,cross-quadrant,independent,corrected-mean,128,1408,0.0,0.125,0.0,-7.213552788941862e-08,9.804026212859055e-08,8.871188559406368e-15,0.005516482238955219
8,cross-quadrant,independent,mean,128,1408,0.0,0.125,0.0,-7.201833611089349e-08,9.797367748219835e-08,8.871188559406374e-15,0.005516482238955219
8,cross-quadrant,independent,median,128,1408,0.0,0.125,0.0,-4.370608838166273e-09,1.4961899649942685e-07,3.457222347847479e-14,0.005516482238955219
8,cross-quadrant,independent,earliest,128,1408,0.0,0.125,0.0,-9.70160381565439e-07,9.70160381565439e-07,1.970897522309248e-14,0.005516482238955219
16,cross-quadrant,independent,corrected-mean,128,1408,0.0,0.3358931243419647,0.0,6.70830247467257e-08,1.0690980756571001e-07,1.4098912926038447e-14,0.0498402915076962
16,cross-quadrant,independent,mean,128,1408,0.0,0.3358931243419647,0.0,6.526945095729679e-08,1.3693612517744494e-07,2.599757601444749e-14,0.0498402915076962
16,cross-quadrant,independent,median,128,1408,0.0,0.3358931243419647,0.0,-3.204520509940347e-07,3.2871255557193135e-07,3.629951292736052e-14,0.0498402915076962
16,cross-quadrant,independent,earliest,128,1408,0.0,0.3358931243419647,0.0,-1.2294009146303983e-06,1.2294009146303983e-06,3.2661648047829296e-14,0.0498402915076962
